en,ja,video_id,start,end
close the lid of the cooker and pressure cook the dal till further 2 whistles,圧力鍋の蓋をして、笛が2回鳴るまでダールをさらに煮ます,zKS6PpS5WKQ,437,444
also add red chili powder cumin powder and coriander powder and cook a littl bit,レッドチリパウダー、クミンパウダー、コリアンダーパウダーも加えて軽く炒めます,ivLLGfX0YUs,120,139
form the meat into balls place them on a cooking sheet and cook through,肉をボール状にして天板に並べ、焼きます,_HtTUAmEqts,200,233
take the cooked beef off the flame and strain the fat,炒めたベーコンを火からおろし、脂を濾します,c8ehb0s3gtQ,158,168
cook some chicken pieces in a pan with some cooking oil,フライパンにサラダ油をひき、小さく切った鶏肉を入れて炒めます,EjHxMfOdl1k,68,90
cook the rolls in oil,油で春巻きを揚げます,txjgF4URKDw,211,230
cook the onion and garlic in a pot with butter,バターを溶かした鍋で玉ねぎとニンニクを炒めます,CElmXCveb48,120,127
add cooked spaghetti to the fried pancetta toss and mix well,炒めたパンチェッタに茹で上がったスパゲッティを加え、よく混ぜます,QepadF9vOdA,155,171
cook the pasta in boiling water,沸騰したお湯でパスタを茹でます,oaOdliOVL6g,63,74
once the naan bubbles turn the pan upside down and cook the other side on high flame,ナンに気泡が出てきたらフライパンを逆さまにして、反対の面を強火で焼きます,fetFXsc6G5s,189,204
cook the chicken in the oven,鶏肉をオーブンで焼きます,N6J2ZQYic_g,83,92
cook the spaghetti in the boiling water,沸騰したお湯でスパゲッティを茹でます,dEBUJ6MZ6e0,66,78
cook the batter on the pan,フライパンで生地を焼きます,dkyxNIkE7vQ,137,164
cook the bread on a pan,パンをフライパンで焼きます,vwtelJNe7ls,338,370
boil water in a pot and add salt 3-4 tsp of oil add basmati rice and cook for about 6-7 minutes,鍋にお湯を沸かし、塩、油小さじ3～4、バスマティライスを加え、約6～7分炊きます,rpNzQZqj0JQ,97,130
cook the eggs in the microwave,卵を電子レンジで調理します,6hs8dZuzIFs,79,90
cook the duck in the oven,オーブンで鴨肉を焼きます,txjgF4URKDw,112,117
add 1 cup of raw paste to it and cook it for about 10  12 minutes,未調理のペーストを1カップ加えて、約10～12分間調理します,PTgdWWK2SPQ,300,312
turn the brats occasionally to cook them on all sides evenly for 20  30 minutes without burning them,焦がさずにまんべんなく焼けるようソーセージをときどき転がしながら20～30分焼きます,PPWGxMrCKHo,48,60
add some salt and chopped basil leaves and cook for 35 minutes,塩と刻んだバジルの葉を加え、35分ほど煮ます,Qh_rtJaCpXs,158,169
take cooked bacon off the stove add drained pasta to it and pour sauce to it and mix well,炒めたベーコンを火から下ろし、水気を切ったパスタを加え、ソースを注いでよく混ぜます,oYeWU0dyanY,278,329
cover the pan to cook for 15 minutes,フライパンに蓋をし、15分煮ます,uI-vgcqOioU,264,280
add tomatos and water to cook,トマトと水を加えて煮ます,SuK9T9KOBSs,265,285
add some cooking oil to a preheated pan,熱したフライパンに油を入れます,m7eR6vTPCxE,145,148
flip the naan and cook the other side,ナンを裏返し、反対側を焼きます,0qbCigxf_sc,492,500
cook some pancetta in a pot without adding oil,パンチェッタをフライパンで油を入れずに炒めます,41NQ9UXkPWE,252,272
cook for some time and add some salt for taste,しばらく炒め、塩で味付けをします,FfyOV00sXEY,97,106
cook the garlic until it turns yellow,ニンニクが黄色くなるまで炒めます,SRdsaqpnfd4,110,121
add the corn starch and cook,コーンスターチを加えて混ぜます,hJzPVZf6JVo,340,354
while the noodles is cooking mix corn starch with water give a good stir and keep it aside,麺を茹でている間にコーンスターチと水をよく混ぜ、脇に置いておきます,Z6c8hIW7bhI,296,304
put the chicken pieces on a pan and cook it,鶏肉をフライパンに入れて焼きます,MxIBrXGWFw0,101,147
wash the urad daal and kidney beans then cook them to a boil,ウラド豆とキドニービーンズを洗って茹でます,ivLLGfX0YUs,35,45
cook an egg sunnyside up and seasoning with salt,目玉焼きを焼き、塩で味付けします,soK_Ddu3OWc,95,98
add the chicken pieces to it to cook for several minutes,鶏肉を加えて数分茹でます,E46hfYyQzD4,177,187
add the tomatoes and cook a little while,トマトを加え、短時間炒めます,wKHC2gbRdA0,313,332
cook 6 strips of sliced bacon,ベーコン6枚を切ったものを炒めます,UUlfKJ9M_pQ,15,26
flip the patty and cook either side until the patty gets thin brown crust,パティを裏返し、パティに薄いクラストができるまで両面を焼きます,sbkVPzkVY0M,208,211
cook the chicken in a pan,鶏肉をフライパンで焼きます,7ghf2NpsdcM,232,260
cook the mushrooms in a pan,フライパンできのこを炒めます,_XxXWiOoyhY,80,95
take some cooking oil in a pan on a high heat and add hash brown mixture,強火にかけたフライパンに油をひき、混ぜ合わせたハッシュドポテトの材料を加えます,qHhjAnASggk,81,100
cook oil and fry cubed potato till they become soft,油を熱し、角切りにしたじゃがいもを柔らかくなるまで炒めます,jkFDlNHAXsU,98,99
cook the noodles in the boiled water and chicken stock,沸騰したお湯と鶏がらスープで麵を茹でます,-eyDS81FADw,97,108
add the zucchini and peas and cook it in low heat with the lid covered,ズッキーニとグリーンピースを加えて蓋をし、弱火で調理します,Qsgz9Vr-5aU,196,205
cook chicken in a pan with pepper,フライパンで鶏肉を炒めてコショウをふります,JrOs3kkSZ48,5,19
pour the sauce on the mussels and cook the mussels in the oven,ムール貝の上にソースをかけ、オーブンで焼きます,e8PNg_-psR8,181,215
cook the vegetables in the pot of boiling water,お湯を沸かした鍋で野菜を茹でます,5IL3Zl6rUu4,250,280
remove cooked chicken pieces and replace with raw chicken,焼けた鶏肉を取り出し、生の鶏肉と入れ替えます,l6Wblq6yIk0,187,196
heat some oil in a pan and cook the lamb in it,フライパンに油を熱し、ラムを入れて焼きます,5E3kulJRzGY,152,170
peel potatoes skin and cut into halves and cook  for about 30 minutes or till they become tender,じゃがいもの皮をむいて半分に切り、30分または柔らかくなるまで茹でます,qtyJmyLVclQ,118,190
add tomato puree and cook,トマトピューレを加えて煮ます,Eg89rR5s8e4,248,256
put the squid rings on a pan and cook the squid rings with oil poured on them,リング状のイカをフライパンにのせ、イカに油を加えて調理します,_xOx9hkJoBk,80,100
melon ball a peeled potato using melon baller and put into boiling salted water and cook for 8  10 minutes,皮をむいたじゃがいもをメロンボーラーでくりぬき、塩を入れた熱湯で8～10分茹でます,PLqTyxMYgBg,113,127
cook beef in a pan,フライパンで牛肉を炒めます,fqqpdOpgkdc,0,74
cook the pork in the pot,鍋で豚肉を炒めます,uUqFphdLQ6g,129,142
cook mince until brown drain the excess fat and add them to cooked mushrooms and onions,ひき肉を色が変わるまで炒め、余分の脂を取り除き、炒めたマッシュルームと玉ねぎに加えます,sT594H2u4kk,63,68
add chopped onions carrots celery and add little salt and cook for about 6-8 minutes,刻んだ玉ねぎ、にんじん、セロリ、塩少々を加えて6～8分炒めます,Qsgz9Vr-5aU,101,116
cook it in the oven,オーブンで焼きます,sT594H2u4kk,141,160
add some red kidney beans tomatoes and let it cook for 3-4 minutes,レッドキドニービーンズ、トマトを加えて3～4分煮ます,qVvJQBIL_HY,169,257
cook the pierogi in boiling water,ピエロギを熱湯で茹でます,tKWl-njXhP0,273,307
cook the pasta in the water,お湯でパスタを茹でます,CgbEMrfzmQQ,44,52
mix masala tikka and water and pour into the dal add some butter and cook,マサラティッカと水を混ぜてダールに注ぎ、バターを加えて煮ます,zKS6PpS5WKQ,325,384
cook in an oven,オーブンで焼きます,jgeZjmXCDiw,420,425
add the balls in it and cook with lid covered,ボールを加え、蓋をして煮ます,m7eR6vTPCxE,205,215
add the mutton to the pan and stir to cook,フライパンにマトンを加え、混ぜながら炒めます,uI-vgcqOioU,174,198
flip the pan and cook the dough over a flame,フライパンを裏返して、直火で生地を焼きます,w0FBc7-Acs8,284,319
add 1 tsp of cooking wine stir gently and cook,料理酒小さじ1を加え、やさしく混ぜて煮ます,pPG5iylCGlA,256,262
cook the steak until their color changes and slice them,ステーキを色が変わるまで焼き、スライスします,XzgR14o6b80,94,128
cook the beef in the same pan,同じ鍋で牛肉を焼きます,f-h7OM5HM0Q,199,227
once the masala is cooked add cooked lentils and beans to it little water and cook for few minutes,スパイスに火が通ったら、下ごしらえした黒レンズ豆とキドニービーンズと少量の水を加えて数分煮ます,qSGeNRE8DIA,192,218
add the vegetable stock and let it cook,野菜スープを加えて煮ます,XpYgHLTeUd4,110,129
add diced tomatoes and cover to cook,角切りにしたトマトを加え、蓋をして煮ます,JdDL-ekwq2A,108,119
cook the udon noodles in hot water,うどんを熱湯で茹でます,Ex2yu23wyHA,18,60
cover and cook on low heat,蓋をして弱火で煮ます,_HtTUAmEqts,107,115
cook the dough on top of the pan,フライパンの上で生地を焼きます,w0FBc7-Acs8,265,283
add cooking wine to the marinade,料理酒をマリネ液に加えます,-CP9gKR9GR4,263,273
put the marinated chicken in the curry add some water and cook with the lid on,マリネした鶏肉をカレーに入れて水を加え、蓋をして煮ます,KpzFf81iax8,384,433
cook the naan on the pan,スキレットでナンを焼きます,Amc5E5Pmqyc,212,237
heat up oil in a frying pan and cook the chicken,フライパンで油を熱して、鶏肉を焼きます,p2GVwIauFks,168,184
cook the chicken wings in an oven on high for 10 minutes,鶏の手羽肉をブロイラーの強火で10分焼きます,cFcLgFsiZUE,40,47
add chilli sauce soy sauce vinegar mix all together well and cook,チリソース、醤油、酢を加え、すべてをよく混ぜ合わせて炒めます,ZLA9W7R4a_c,91,109
add cooked macaroni chicken ham celery egg cheese pineapples raisins and pimientos to a bowl and mix together,茹でたマカロニ、鶏肉、ハム、セロリ、卵、チーズ、パイナップル、レーズン、ピメントをボウルに入れ、混ぜ合わせます,nLlibzCXf1Q,134,182
cook spinach and eggplant in boiling water,沸騰したお湯でほうれん草となすを茹でます,qRUbmEZ6oiA,77,82
cook the bacon,ベーコンを炒めます,Ba2xxUXJ90w,70,78
cover the lid and cook until all the mussels are widely open,蓋をして、すべてのムール貝が大きく開くまで加熱します,bpsKpmyexUs,385,415
check the bottom of the pancakes and flip them over to cook the other side,パンケーキの下の面をチェックして、裏返して反対側を焼きます,Ck3oNHsLqfk,156,176
cook on each side for 2 or 3 minutes,両面を2～3分ずつ焼きます,xiiu9ua4MPE,211,230
turn on the heat keep a pan and add some cooking oil,フライパンを火にかけたままにして、油を加えます,R-_LEZ41Pt4,167,173
cover it and cook for 5 minutes more and garnish with coriander leaves,蓋をしてさらに5分煮たらパクチーの葉を飾ります,NwiypvZAymk,675,702
cook the spinach on the pan,フライパンでほうれん草を炒めます,lU28_L508vo,124,131
now add mushrooms and grated carrots let it cook for a min,マッシュルームとおろしたにんじんを加えて1分ほど炒めます,p2GVwIauFks,314,334
cook the endive on a grill,チコリをグリルで焼きます,oVPr2LAyhRM,87,100
heat some cooking oil in a pan,フライパンにサラダ油を熱します,KUL6f9Q5ER4,133,142
cook the meat in a pan,フライパンで肉を炒めます,_XxXWiOoyhY,48,65
add some fresh green chili and coriander leaves and let the mixture cook for sometime,生の青唐辛子とパクチーの葉を加えてしばらく煮ます,qVvJQBIL_HY,257,370
cook the marinated beef on a pan,マリネした牛肉をフライパンで焼きます,dxSSb3tv5ZM,226,256
cook the pasta in boiling water,沸騰したお湯でパスタを茹でます,_HtTUAmEqts,295,302
turn the dumplings over and add water midway through cooking,餃子をひっくり返し、途中で水を加えます,b34VwqSkRE0,181,192
fry the marinated beef until cooked,マリネした牛肉を火が通るまで炒めます,19EkHqTQkZg,205,210
pour the batter and cook it until both the sides are golden brown,両面がきつね色になるまで生地を焼きます,wiWB46xiIwU,139,163
cover to cook for another 40 minutes and garnish with more coriander leaves,蓋をしてさらに40分煮込み、パクチーの葉をさらに加えます,uI-vgcqOioU,364,397
add meat to pan of oil and remove when cooked,油をひいたフライパンに肉を入れ、焼けたら取り出します,davq4bio878,60,73
whisk the sauce while it cooks,ソースを加熱しながらかき混ぜます,pz1pXfa208Y,54,63
add 1  lb of minced pork break it up and cook,豚ひき肉1ポンドを加え、ほぐして炒めます,dqksjDlrqq8,127,159
cook the carrot on a pan with sesame oil,フライパンでにんじんをごま油で炒めます,LEqqsROtG-I,17,20
cook some cumin seeds and green vegetable and curry powder in a pan,フライパンでクミンシード、青野菜、カレーパウダーを炒めます,b56WIxbLd1c,41,64
cook the mixture for 5 minutes till the onion becomes light brown in color,玉ねぎが薄いきつね色になるまで、材料を5分炒めます,u-2aI2iptmM,74,86
cook onions and bacon together in a pan,鍋で玉ねぎとベーコンを一緒に炒めます,UzqlXpAAAWk,36,40
cook the burritos in the oven,ブリトーをオーブンで焼きます,14w_h9VFtzU,105,107
melt 1 spoon butter and cook some chopped onions in a pan,フライパンにスプーン1杯のバターを溶かし、刻んだ玉ねぎを炒めます,LqCDIssigHo,11,30
add  chopped tomato 1 tsp red chilli powder and cook for 2 min,刻んだトマトと赤唐辛子粉小さじ1を加えて2分炒めます,jivDSCDoyU0,95,134
cook the eggs in the pan,フライパンで卵を焼きます,IdEZ7LvLZPE,102,134
cook the sausage in a pan,フライパンでソーセージを焼きます,9Rrfeohr3Fk,116,124
melt 2 tbsp butter in a pan add some chopped potatoes sliced cabbage onions leeks and cook,フライパンにバター大さじ2を溶かし、さいの目に切ったじゃがいも、スライスしたキャベツ、玉ねぎ、リーキを加えて炒めます,rD33y9PjqU8,13,36
mix well and cook on a medium flame for 2 minutes while stirring occasionally,よく混ぜ、中火で2分ときどきかき混ぜながら煮ます,FeUEV0a6I5I,273,291
put some olive oil on a skillet and cook the sliced bacon,フライパンにオリーブオイルをひき、スライスしたベーコンを炒めます,nfO0YS2dSdw,25,49
add minced garlic stir and cook,ニンニクのみじん切りを加えて混ぜながら炒めます,hJzPVZf6JVo,241,256
cook in the oven until browned on top,表面に焼き色がつくまでオーブンで焼きます,FUtv6PjKjDE,60,64
cook some slices of bacon under the grill for 8-10 minutes,ベーコンのスライスをグリルで8～10分焼きます,m20wLqgdmLY,80,85
chop garlic and bacon and cook in a pot,ニンニクとベーコンをみじん切りにし、鍋で炒めます,jxMQRNpUsXc,41,80
cook in the broiler for a few minutes,ブロイラーで数分間焼きます,LRjJqoeprqg,395,423
stir and cook until the soup boils,スープが沸騰するまでかき混ぜて煮込みます,D4AnZ0ymfzw,72,85
add green vegetable and onion to cook,青野菜と玉ねぎを加えて炒めます,gB6Fd4D697s,175,217
add green chili and coriander seeds cook on medium heat,青唐辛子とコリアンダーシードを加えて中火で炒めます,z_ZHVTqbSZo,37,56
cook it in an oven for 30 minutes and top with mozzarella cheese and cook for another 5 minutes,オーブンで30分焼き、モツァレラチーズをのせてさらに5分焼きます,eZqq8C0U49M,168,196
add cooking oil and mix the bowl,サラダ油を加えて混ぜます,acMP2DOpWeA,87,93
form the meat into a loaf and cook in the oven,肉をミートローフの形に整え、オーブンで焼きます,M1HPY6_IEqU,51,57
cook onions and mushrooms with sake in the pan,フライパンで玉ねぎときのこを酒と炒めます,qH6kSDQMiFA,205,216
add some water two shiitake mushrooms kombu seaweed and cook with lid on,水、しいたけ2個、昆布を加え、蓋をして煮ます,KoKkf5qEW8w,132,157
place some lettuce in the middle of the rice paper some coriander leaves mint cilantro beans sprouts cooked vermicelli noodles,ライスペーパーの中央にレタスを少しのせ、コリアンダーの葉、ミント、パクチー、もやし、茹でておいたビーフンをのせます,qaDMnLE6NBU,246,271
pour chopped potato and squash into a steamer and cook it until tender,刻んだじゃがいもとかぼちゃを蒸し器に入れ、柔らかくなるまで蒸します,Qsgz9Vr-5aU,117,140
cook a chunk of ground beef in a pan,牛ひき肉の塊をフライパンで炒めます,igEW1p4ZViM,40,54
cook covering the lid,蓋をして蒸します,i4ZAwUoP8c4,53,54
cook chopped onion and garlic with taco seasoning,刻んだ玉ねぎとニンニクにタコシーズニングを加えて炒めます,7rXq0DYdPjs,103,110
add some mixed spice and a little salt and let it cook for 1 hour,ミックススパイスと塩少々を加えて1時間茹でます,ivLLGfX0YUs,47,60
as bubbles appear turn the pan and cook the other side on high flame and brush melted butter,気泡が出てきたらフライパンを裏返し、反対の面を強火で焼き、溶かしバターを塗ります,fetFXsc6G5s,297,320
stir and chop eggs in pan until fully cooked,フライパンの卵を完全に火が通るまでかき混ぜます,dI2WtKv1t_o,130,185
put the half cooked sausages on the bread and roll them up,半分火が通ったソーセージをパンにのせ、巻きます,d-Hwbg0PrNk,109,120
add  cup of breadcrumbs cook and stir,パン粉を1カップ加えて混ぜ、煮ます,s345cUBQhhk,573,600
cook until the red chili turns brown,赤唐辛子に焼き色がつくまで炒めます,oHISYcjakpk,252,269
cook the samosa in oil,サモサを油で揚げます,3t0DOJgK1vs,158,175
cook chopped onions in a pan with hot oil,刻んだ玉ねぎを植物油を熱した鍋で炒めます,haOViOps2ew,80,90
shape the meat into balls and cook them on a pan with oil,肉をボール状に整えて、油を引いたフライパンで焼きます,33OD9eIiTPI,125,130
when the water boils cook the ramen until soft and then drain,お湯が沸いたらラーメンを柔らかくなるまで茹で、水を切ります,pq2PcaRnzc4,135,141
cook the sauce outdoors with lid on,ソースを屋外で蓋をして煮詰めます,rXR5nuiXtZQ,56,80
cook the sauce to make it thick,とろみが出るまでソースを加熱します,zFKhct4g8as,188,311
add some chopped carrots and onions and cook,刻んだにんじんと玉ねぎを加えて炒めます,62H65wNWMZo,29,34
increase the heat and once the noodles are properly cooked add corn starch mixture bringing it to boil,火を強め、麺が茹で上がったら水で溶いたコーンスターチを加えて沸騰させます,Z6c8hIW7bhI,373,391
heat some oil in a pan and cook chopped onions in it,フライパンに油を熱し、刻んだ玉ねぎを炒めます,Gs7Bg6hLo84,42,54
cook a pot of mixed vegetables including lentils green onion and carrot with water,鍋に水を入れ、レンズ豆、青ねぎ、にんじんなどの野菜を茹でます,0-OWf7eul6w,83,95
cook the green beans in a pot of water,鍋に水を入れていんげんを茹でます,JlXYqpEWUuA,366,368
add 1 tsp of sesame oil stir everything evenly and cook for some time,ごま油小さじ1を加え、すべての材料を均等に混ぜ、しばらく炒めます,pPG5iylCGlA,307,318
cook them in an oven,オーブンで焼きます,vw9FgztLKFc,318,361
remove the cooked foie gras and pat it with a towel to strain excess oil,焼けたフォアグラを取り出し、タオルで余分な油を切ります,imfl-NXiU8g,319,324
garnish it with chopped pork cooked baby bok choy and then serve,刻んだ豚肉と炒めたチンゲン菜を添えて出来上がりです,X4T4XjWNUgc,312,328
add cooking oil in a pan and cook the tofu chunks in it,フライパンにサラダ油を入れ、さいの目に切った豆腐を炒めます,C_6yMh3tEQk,177,222
add in cabbage spring onion and bean sprouts and cook until everything is ready,キャベツ、青ねぎ、もやしを加えて、すべての材料に火が通るまで炒めます,gB6Fd4D697s,273,320
cook pasta in boiling salted water,塩を入れた沸騰した湯でパスタを茹でます,r-s3tFLCqxM,77,81
place the sandwich in the pan and cook until brown on both sides,サンドイッチをフライパンに入れ、両面がきつね色になるまで焼きます,G3k0rnWXK_c,41,53
boil cup of water add pinch of salt add half cup of quinoa cover pot let cook for 15 minutes,水1カップを沸かし、塩ひとつまみとキヌア1/2カップを加えて鍋に蓋をし、15分茹でます,Qodppi8e68k,35,74
add a little salt to the eggs and stir to cook the eggs in the sauce pan,卵に塩を少量加えて混ぜ、ソースパンで混ぜながら炒ります,s9r-CxnCXkg,63,90
add some chopped lettuce in the soup and cook them,刻んだレタスをつゆに加えて煮ます,aYyh8axyDg8,263,274
add cinnamon some cumin seeds and some cloves and cook the lamb,シナモン、クミンシード、クローブを加えてラムを炒めます,jpQBWsR3HHs,100,143
add three finely diced potato clams and rich creme and cook the potatoes,細かくさいの目に切ったじゃがいも3個、アサリ、生クリームを加え、じゃがいもに火を通します,UaQ_PwDnIis,262,298
stir a bit and cook until browned and crust forms,軽く混ぜ、きつね色になり表面がカリカリになってくるまで焼きます,pYhiIrlXY7I,149,196
cook the bacon on a large skillet until evenly brown,大きなスキレットでベーコンを均一に焼き色が付くまで焼きます,7PATXwoKFeI,57,71
add in the chicken mix and cook,鶏肉を加えて混ぜ、炒めます,K6Uk5vNi1_Q,327,350
cook the dosa on the skillet with oil,スキレットに油をかけドーサを焼きます,VA_7l_TXcMs,421,488
heat some oil in a pan and cook minced beef,フライパンに油を熱し、牛ひき肉を炒めます,62H65wNWMZo,16,28
cook the macaroni in boiling water,沸騰したお湯でマカロニを茹でます,QUV_oA9DrGw,62,92
add some vegetable oil in a pan add shrimp and cook for a minute,フライパンに植物油を入れ、エビを加えて、1分間炒めます,o4gTZoW0SXI,101,129
add oil and cook chicken in the pan,フライパンにグレープシードオイルを加えて鶏肉を焼きます,YgFwFoqglKc,110,135
cook until the bottom of the dosa starts to turn golden brown,ドーサの下の面がきつね色になるまで焼きます,5SMOBHTBPjA,271,292
add grapeseed oil cooked rice and vegetables to the wok and stir,中華鍋にグレープシードオイル、炊いたご飯、野菜を加えて混ぜます,YgFwFoqglKc,139,180
cook the mixture,混ぜたものを煮ます,3XKJ07sLiPE,80,84
rub butter on top of the cooked bread,焼きあがったパンの上にバターを塗ります,rLBQ2Wglw6Y,275,301
make space on one part of the pan and add grated cauliflower and fry and cook for 5 minutes mixing all together,フライパンの一部にスペースを開けて、すりおろしたカリフラワーを加え、すべてを混ぜながら5分間炒めます,dqksjDlrqq8,369,431
flip the foie gras and cook the other side,フォアグラを裏返し、反対側を焼きます,Ck3oNHsLqfk,118,142
remove the cooked foie gras in a plate,焼けたフォアグラを皿に取ります,JanpGgH1TaA,403,409
cook the pizza on the baking tray in the oven,天板のピザをオーブンで焼きます,ulTKMWIQR30,67,72
place the cooked foie gras on the salad along with fried potato wedge and serve,焼いたフォアグラをサラダにのせ、フライドポテトを添えて出来上がりです,yqpMSBZaNno,128,131
cook the pizza in the oven,ピザをオーブンで焼きます,zJoy52YuVXs,124,152
cook pasta put cooked pasta on a plate and top it with the sauce,パスタを茹でて皿に盛り、ソースをかけます,zWHu95io9B4,205,215
cook the onions in the pan with oil and salt,フライパンに玉ねぎを入れてオリーブオイルと塩を加えて炒めます,nJzDfRIb9T0,88,118
cook the snails in the oven,カタツムリをオーブンで焼きます,fJ47lmh3uiU,531,561
cook some garlic with vegetable oil,植物油でニンニクを炒めます,PqyqB_FkWrQ,221,230
mix the ingredients in the pan add tomato puree and lemon juice and cook the mixture until smooth,フライパンの材料を混ぜ、トマトピューレとレモン汁を加えて、なめらかになるまで炒めます,mtX4PAsQR70,267,395
cook the bratwursts on the grill,グリルでブラートヴルストを焼きます,Eci1mvWcQuI,71,92
cook the bacon in a heated pan and then remove it from the pan,熱した鍋でベーコンを炒め、取り出します,CIRA1IC9shc,64,81
cook the pizza in the oven,ピザをオーブンで焼きます,c96tGPyKB0c,104,136
cook on a medium flame for 8 to 10 minutes while stirring occasionally,ときどきかき混ぜながら、中火で8～10分煮ます,FeUEV0a6I5I,79,87
add cooking oil and beat an egg,サラダ油をひき、卵を入れてかき混ぜます,C_6yMh3tEQk,452,477
place chicago hot dogs on the grills and cook for few minutes,グリルにシカゴ風ホットドッグをのせ、数分間焼きます,qOB709GWcE8,61,83
turn off heat and add whisked mixture to cooked spaghetti and stir constantly adding pasta water to get creamy consistency,火を止め、茹で上がったスパゲッティに混ぜた材料を加え、パスタの茹で汁を加えながら滑らかになるまで絶えず混ぜます,QepadF9vOdA,250,289
cook the noodles,麺を茹でます,WO4EXX5DJHQ,223,226
place the seasoned foie gras in the pan and cook until it is golden brown and,味付けしたフォアグラをフライパンに入れ、きつね色になるまで焼きます,imfl-NXiU8g,287,318
add one cup of cooked chick peas and 1 cup of chopped broccoli,茹でたひよこ豆1カップと刻んだブロッコリー1カップを加えます,WEAobzGzPFI,99,103
cook the onion rings in the oven,オニオンリングをオーブンで焼きます,0IuQKThr-pM,133,140
spread some olive oil on some lettuce and cook on the grill,レタスにオリーブオイルを塗り、グリルで焼きます,qpxPlQ0IfLk,176,213
cook the noodles in a pot of water,水を入れた鍋で麺を茹でます,FQRC8urWpew,121,126
remove the pan off the coal heat and close the grill lid and let it cook indirectly for about half an hour,フライパンを炭火が直接当たらない場所に移動させ、グリルの蓋を閉めて、間接加熱で約30分間調理します,a3ZvOvo49WE,267,300
cook the finely chopped cabbage and onion in the same skillet,同じスキレットで、細かく刻んだキャベツと玉ねぎを炒めます,7PATXwoKFeI,96,121
mix all the ingredients well by adding little bit of sherry cooking wine until the mixture reaches proper consistency,混ぜた材料に適当なとろみがつくまで料理用シェリー酒を少量ずつ加えながら全体をよく混ぜ合わせます,QTSklobANsU,198,247
add baby corn carrots onions red bell pepper which are finely chopped and cook it with shrimp for 2 mins,細かく刻んだベビーコーン、にんじん、玉ねぎ、赤ピーマンを加え、エビと一緒に2分間炒めます,o4gTZoW0SXI,130,155
place it in the oven and cook it for 10 minutes and serve,オーブンに入れ、10分焼けば出来上がりです,W4nvDoCtdHM,161,179
cook the rolls in the oven,春巻をオーブンで焼きます,2Q-Nq6kxpfg,178,185
keep stirring until everything is cooked and evenly mixed,全体に火が通り、均一に混ざるまで混ぜます,8QCW0qWbNeI,261,274
add mustard seeds and chana dal and cook until seeds crack,マスタードシード、チャナダールを加えて種が弾けるまで熱します,cxijjHcz70Q,103,133
cook the falafel balls in the oil,ボール状のファラフェルを油で揚げます,TvnrmFuz0G8,302,319
add the cooked chicken breast and eggs to the fried rice and mix together,炒めておいた鶏むね肉と卵を炒飯に加え、混ぜ合わせます,DBJUD9V-1rQ,216,235
cook the finely chopped onions in it,玉ねぎのみじん切りを入れて炒めます,tlGFRoMj4uE,68,82
when the egg is cooked add shrimp and stir,卵に火が通ったら、エビを加えてかき混ぜます,_HYoidFnb5w,104,126
put some washed mussels in the pan and cover to cook,洗ったムール貝をフライパンに入れ、蓋をして煮ます,lYiKwaclCZQ,163,186
cook onion and lamb in a pan,玉ねぎとラムをフライパンで炒めます,rlHZ8xe9G10,45,73
add chopped garlic peanut oil and marinated shrimp and stir fry until cooked,刻んだニンニク、ピーナッツオイル、マリネしたエビを加え、火が通るまで炒めます,rXR5nuiXtZQ,85,104
cook in the oven at 375 degree for 12 minutes,375度のオーブンで12分焼きます,mrHTodOjHOc,316,343
cook the meat in the pot,鍋で肉を炒めます,NktYVXNREVY,250,290
cook the spaghetti,スパゲッティを茹でます,t1cUwX4Xzt0,62,64
add some tomato sauce and parmesan cheese on top of chicken breast and cook it in the oven,鶏むね肉の上にトマトソースとパルメザンチーズをかけ、オーブンで焼きます,bqmkNRNd5yw,415,501
cook the eggs in the microwave,卵を電子レンジで調理します,6hs8dZuzIFs,50,58
add 1 tsp salt stir and cook,塩小さじ1を加えて混ぜ、煮ます,v7U70gPylBA,159,161
add finely chopped onions and stir to cook,赤玉ねぎのみじん切りを加えて混ぜながら炒めます,uI-vgcqOioU,141,154
boil some water add chopped potatoes and cook,お湯を沸かして切ったじゃがいもを加えて煮ます,sT594H2u4kk,91,95
add some more water and cook until carrots and parsnips are half tender add potatoes and cook with lid covered,さらに水を加え、にんじんとパースニップに半分火が通るまで煮たら、 ジャガイモを加えて蓋をして煮ます,i4ZAwUoP8c4,176,199
add in the onions and the brat and cook in the pan,玉ねぎとソーセージをトレイに加えて煮ます,SHGY7kKeLq8,167,183
add the chopped parsley to the cooking ingredients in the pan and salt,フライパンで炒めている材料に刻んだパセリを加え、塩をふります,dqksjDlrqq8,324,363
flour the liver and cook in the pan,レバーに小麦粉をまぶし、フライパンで焼きます,djKnQP_LvSk,260,339
stir fry until the eggs are cooked,卵に火が通るまで炒めます,EpMbu7EIYf0,122,196
cook the naan until large bubbles form,大きな気泡ができるまでナンを焼きます,3cVVML1OLNM,31,95
cook the bacon pieces,ベーコンを炒めます,AGq4lnC_WVo,150,162
add coriander powder red chili powder and mix properly and cook stirring in between,コリアンダーパウダーと赤唐辛子粉を加えてよく混ぜながら煮ます,zKS6PpS5WKQ,271,315
add ginger garlic and onions and cook,ショウガ、ニンニク、玉ねぎを加えて炒めます,RXljYbddo7g,230,237
cook the pears in a pot with butter sugar mustard and pepper,バターを溶かした鍋で梨、砂糖、マスタード、コショウを炒めます,CElmXCveb48,158,180
